disease_id,disease_name,disease_category
1,Diabetes,CHRONIC
2,Hypertension,CHRONIC
3,Asthma,CHRONIC
4,Tuberculosis,INFECTIOUS
5,Anemia,NUTRITIONAL
6,Malaria,INFECTIOUS
7,Dengue,INFECTIOUS
8,Pneumonia,RESPIRATORY
9,COPD,RESPIRATORY
10,Arthritis,CHRONIC
11,Typhoid,INFECTIOUS
12,Hepatitis B,INFECTIOUS
13,Hepatitis C,INFECTIOUS
14,Migraine,NEUROLOGICAL
15,Epilepsy,NEUROLOGICAL
16,Heart Disease,CARDIOVASCULAR
17,Stroke,CARDIOVASCULAR
18,Kidney Disease,CHRONIC
19,Liver Disease,CHRONIC
20,Obesity,METABOLIC
21,Hypothyroidism,ENDOCRINE
22,Hyperthyroidism,ENDOCRINE
23,Depression,MENTAL_HEALTH
24,Anxiety,MENTAL_HEALTH
25,Skin Infection,INFECTIOUS
26,Chickenpox,INFECTIOUS
27,Measles,INFECTIOUS
28,COVID-19,INFECTIOUS
29,Iron Deficiency,NUTRITIONAL
30,Vitamin D Deficiency,NUTRITIONAL
