family_id,area_id,house_number,house_type,has_toilet,socio_economic_category
1,1,H-1,SEMI_PUCCA,t,LOW
2,2,H-2,PUCCA,t,MIDDLE
3,3,H-3,SEMI_PUCCA,t,HIGH
4,4,H-4,SEMI_PUCCA,t,MIDDLE
5,5,H-5,PUCCA,t,MIDDLE
6,6,H-6,PUCCA,t,MIDDLE
7,7,H-7,SEMI_PUCCA,t,MIDDLE
8,8,H-8,KUTCHA,t,HIGH
9,9,H-9,PUCCA,t,MIDDLE
10,10,H-10,KUTCHA,t,MIDDLE
11,11,H-11,PUCCA,t,MIDDLE
12,12,H-12,PUCCA,t,LOW
13,13,H-13,SEMI_PUCCA,t,MIDDLE
14,14,H-14,PUCCA,f,MIDDLE
15,15,H-15,PUCCA,t,MIDDLE
16,16,H-16,KUTCHA,t,HIGH
17,17,H-17,PUCCA,t,MIDDLE
18,18,H-18,PUCCA,f,LOW
19,19,H-19,PUCCA,t,MIDDLE
20,20,H-20,PUCCA,f,MIDDLE
21,21,H-21,PUCCA,t,MIDDLE
22,22,H-22,KUTCHA,t,MIDDLE
23,23,H-23,KUTCHA,t,MIDDLE
24,24,H-24,PUCCA,t,MIDDLE
25,25,H-25,PUCCA,t,LOW
26,26,H-26,PUCCA,t,MIDDLE
27,27,H-27,SEMI_PUCCA,f,LOW
28,28,H-28,PUCCA,t,MIDDLE
29,29,H-29,PUCCA,f,LOW
30,30,H-30,PUCCA,t,MIDDLE
31,31,H-31,PUCCA,t,MIDDLE
32,32,H-32,SEMI_PUCCA,t,MIDDLE
33,33,H-33,SEMI_PUCCA,t,MIDDLE
34,34,H-34,SEMI_PUCCA,t,LOW
35,35,H-35,PUCCA,t,MIDDLE
36,36,H-36,PUCCA,t,MIDDLE
37,37,H-37,SEMI_PUCCA,t,LOW
38,38,H-38,PUCCA,t,LOW
39,39,H-39,SEMI_PUCCA,t,HIGH
40,40,H-40,PUCCA,t,MIDDLE
41,41,H-41,PUCCA,t,LOW
42,42,H-42,PUCCA,t,MIDDLE
43,43,H-43,PUCCA,t,MIDDLE
44,44,H-44,PUCCA,t,MIDDLE
45,45,H-45,PUCCA,t,MIDDLE
46,46,H-46,PUCCA,t,MIDDLE
47,47,H-47,PUCCA,t,MIDDLE
48,48,H-48,SEMI_PUCCA,t,LOW
49,49,H-49,PUCCA,t,MIDDLE
50,50,H-50,PUCCA,f,HIGH
51,51,H-51,PUCCA,t,MIDDLE
52,52,H-52,PUCCA,t,HIGH
53,53,H-53,PUCCA,t,MIDDLE
54,54,H-54,PUCCA,t,MIDDLE
55,55,H-55,SEMI_PUCCA,t,HIGH
56,56,H-56,SEMI_PUCCA,t,MIDDLE
57,57,H-57,PUCCA,t,MIDDLE
58,58,H-58,PUCCA,t,LOW
59,59,H-59,PUCCA,t,LOW
60,60,H-60,SEMI_PUCCA,t,HIGH
61,61,H-61,PUCCA,t,MIDDLE
62,62,H-62,KUTCHA,f,MIDDLE
63,63,H-63,PUCCA,t,HIGH
64,64,H-64,SEMI_PUCCA,t,MIDDLE
65,65,H-65,SEMI_PUCCA,t,MIDDLE
66,66,H-66,SEMI_PUCCA,f,MIDDLE
67,67,H-67,KUTCHA,t,MIDDLE
68,68,H-68,PUCCA,t,MIDDLE
69,69,H-69,PUCCA,t,HIGH
70,70,H-70,PUCCA,t,MIDDLE
71,71,H-71,PUCCA,t,MIDDLE
72,72,H-72,PUCCA,t,MIDDLE
73,73,H-73,SEMI_PUCCA,t,HIGH
74,74,H-74,PUCCA,t,MIDDLE
75,75,H-75,PUCCA,f,MIDDLE
76,76,H-76,PUCCA,t,MIDDLE
77,77,H-77,PUCCA,f,LOW
78,78,H-78,PUCCA,t,MIDDLE
79,79,H-79,PUCCA,t,LOW
80,80,H-80,SEMI_PUCCA,t,HIGH
81,81,H-81,KUTCHA,t,MIDDLE
82,82,H-82,KUTCHA,t,MIDDLE
83,83,H-83,PUCCA,t,LOW
84,84,H-84,SEMI_PUCCA,t,LOW
85,85,H-85,PUCCA,t,MIDDLE
86,86,H-86,PUCCA,t,LOW
87,87,H-87,SEMI_PUCCA,t,LOW
88,88,H-88,PUCCA,t,LOW
89,89,H-89,PUCCA,t,LOW
90,90,H-90,KUTCHA,t,LOW
91,91,H-91,SEMI_PUCCA,f,HIGH
92,92,H-92,SEMI_PUCCA,t,LOW
93,93,H-93,PUCCA,t,MIDDLE
94,94,H-94,PUCCA,t,MIDDLE
95,95,H-95,PUCCA,t,LOW
96,96,H-96,PUCCA,t,MIDDLE
97,97,H-97,PUCCA,f,MIDDLE
98,98,H-98,PUCCA,t,MIDDLE
99,99,H-99,PUCCA,t,MIDDLE
100,100,H-100,PUCCA,t,MIDDLE
101,101,H-101,SEMI_PUCCA,f,MIDDLE
102,102,H-102,PUCCA,f,MIDDLE
103,103,H-103,PUCCA,t,LOW
104,104,H-104,PUCCA,t,MIDDLE
105,105,H-105,SEMI_PUCCA,t,LOW
106,106,H-106,SEMI_PUCCA,t,LOW
107,107,H-107,PUCCA,t,HIGH
108,108,H-108,SEMI_PUCCA,t,MIDDLE
109,109,H-109,KUTCHA,t,LOW
110,110,H-110,PUCCA,t,HIGH
111,111,H-111,SEMI_PUCCA,t,HIGH
112,112,H-112,KUTCHA,t,MIDDLE
113,113,H-113,PUCCA,t,HIGH
114,114,H-114,SEMI_PUCCA,t,MIDDLE
115,115,H-115,PUCCA,t,MIDDLE
116,116,H-116,SEMI_PUCCA,f,MIDDLE
117,117,H-117,SEMI_PUCCA,t,HIGH
118,118,H-118,KUTCHA,t,MIDDLE
119,119,H-119,PUCCA,t,MIDDLE
120,120,H-120,PUCCA,t,LOW
121,121,H-121,SEMI_PUCCA,t,MIDDLE
122,122,H-122,SEMI_PUCCA,t,LOW
123,123,H-123,PUCCA,t,MIDDLE
124,124,H-124,SEMI_PUCCA,t,MIDDLE
125,125,H-125,KUTCHA,t,HIGH
126,126,H-126,PUCCA,t,MIDDLE
127,127,H-127,KUTCHA,t,MIDDLE
128,128,H-128,PUCCA,t,LOW
129,129,H-129,SEMI_PUCCA,f,LOW
130,130,H-130,SEMI_PUCCA,t,MIDDLE
131,131,H-131,PUCCA,t,HIGH
132,132,H-132,PUCCA,t,MIDDLE
133,133,H-133,KUTCHA,t,LOW
134,134,H-134,SEMI_PUCCA,t,MIDDLE
135,135,H-135,SEMI_PUCCA,t,MIDDLE
136,136,H-136,PUCCA,t,HIGH
137,137,H-137,PUCCA,t,MIDDLE
138,138,H-138,KUTCHA,t,MIDDLE
139,139,H-139,PUCCA,f,MIDDLE
140,140,H-140,PUCCA,t,MIDDLE
141,141,H-141,SEMI_PUCCA,t,MIDDLE
142,142,H-142,KUTCHA,t,HIGH
143,143,H-143,PUCCA,t,LOW
144,144,H-144,PUCCA,f,MIDDLE
145,145,H-145,PUCCA,f,MIDDLE
146,146,H-146,PUCCA,t,MIDDLE
147,147,H-147,SEMI_PUCCA,t,MIDDLE
148,148,H-148,PUCCA,t,MIDDLE
149,149,H-149,PUCCA,f,MIDDLE
150,150,H-150,PUCCA,t,HIGH
151,151,H-151,SEMI_PUCCA,t,MIDDLE
152,152,H-152,PUCCA,t,MIDDLE
153,153,H-153,PUCCA,t,LOW
154,154,H-154,SEMI_PUCCA,t,MIDDLE
155,155,H-155,PUCCA,t,MIDDLE
156,156,H-156,KUTCHA,t,LOW
157,157,H-157,PUCCA,f,MIDDLE
158,158,H-158,SEMI_PUCCA,t,MIDDLE
159,159,H-159,SEMI_PUCCA,t,HIGH
160,160,H-160,SEMI_PUCCA,t,MIDDLE
161,161,H-161,PUCCA,t,LOW
162,162,H-162,PUCCA,t,HIGH
163,163,H-163,PUCCA,t,MIDDLE
164,164,H-164,SEMI_PUCCA,t,MIDDLE
165,165,H-165,PUCCA,t,LOW
