family_id,area_id,house_number,house_type,has_toilet,socio_economic_category
1,1,H-1,SEMI_PUCCA,True,LOW
2,2,H-2,PUCCA,True,MIDDLE
3,3,H-3,SEMI_PUCCA,True,HIGH
4,4,H-4,SEMI_PUCCA,True,MIDDLE
5,5,H-5,PUCCA,True,MIDDLE
6,6,H-6,PUCCA,True,MIDDLE
7,7,H-7,SEMI_PUCCA,True,MIDDLE
8,8,H-8,KUTCHA,True,HIGH
9,9,H-9,PUCCA,True,MIDDLE
10,10,H-10,KUTCHA,True,MIDDLE
11,11,H-11,PUCCA,True,MIDDLE
12,12,H-12,PUCCA,True,LOW
13,13,H-13,SEMI_PUCCA,True,MIDDLE
14,14,H-14,PUCCA,False,MIDDLE
15,15,H-15,PUCCA,True,MIDDLE
16,16,H-16,KUTCHA,True,HIGH
17,17,H-17,PUCCA,True,MIDDLE
18,18,H-18,PUCCA,False,LOW
19,19,H-19,PUCCA,True,MIDDLE
20,20,H-20,PUCCA,False,MIDDLE
21,21,H-21,PUCCA,True,MIDDLE
22,22,H-22,KUTCHA,True,MIDDLE
23,23,H-23,KUTCHA,True,MIDDLE
24,24,H-24,PUCCA,True,MIDDLE
25,25,H-25,PUCCA,True,LOW
26,26,H-26,PUCCA,True,MIDDLE
27,27,H-27,SEMI_PUCCA,False,LOW
28,28,H-28,PUCCA,True,MIDDLE
29,29,H-29,PUCCA,False,LOW
30,30,H-30,PUCCA,True,MIDDLE
31,31,H-31,PUCCA,True,MIDDLE
32,32,H-32,SEMI_PUCCA,True,MIDDLE
33,33,H-33,SEMI_PUCCA,True,MIDDLE
34,34,H-34,SEMI_PUCCA,True,LOW
35,35,H-35,PUCCA,True,MIDDLE
36,36,H-36,PUCCA,True,MIDDLE
37,37,H-37,SEMI_PUCCA,True,LOW
38,38,H-38,PUCCA,True,LOW
39,39,H-39,SEMI_PUCCA,True,HIGH
40,40,H-40,PUCCA,True,MIDDLE
41,41,H-41,PUCCA,True,LOW
42,42,H-42,PUCCA,True,MIDDLE
43,43,H-43,PUCCA,True,MIDDLE
44,44,H-44,PUCCA,True,MIDDLE
45,45,H-45,PUCCA,True,MIDDLE
46,46,H-46,PUCCA,True,MIDDLE
47,47,H-47,PUCCA,True,MIDDLE
48,48,H-48,SEMI_PUCCA,True,LOW
