area_id,area_name,area_type,mandal,district,anm_id
1,Bhalswa Jahangir Pur Area 1,VILLAGE,Bhusawal,Jharkhand,1
2,Kamarhati Area 2,COLONY,Shivpuri,Assam,2
3,Kolhapur Area 3,WARD,Kurnool,Tripura,3
4,Fatehpur Area 4,VILLAGE,Solapur,Jharkhand,4
5,Uluberia Area 5,COLONY,Tinsukia,Sikkim,5
6,Satara Area 6,VILLAGE,Kozhikode,Chhattisgarh,6
7,Saharsa Area 7,VILLAGE,Adoni,Himachal Pradesh,7
8,Ludhiana Area 8,VILLAGE,South Dumdum,Odisha,8
9,Bareilly Area 9,VILLAGE,Tirunelveli,Sikkim,9
10,Shivpuri Area 10,VILLAGE,Medininagar,Goa,10
11,Jabalpur Area 11,VILLAGE,Rohtak,Uttarakhand,11
12,Erode Area 12,VILLAGE,Bhilai,Bihar,12
13,Kottayam Area 13,VILLAGE,Tirupati,Uttarakhand,13
14,Hazaribagh Area 14,VILLAGE,Sultan Pur Majra,Goa,14
15,Kanpur Area 15,VILLAGE,Gandhinagar,Meghalaya,15
16,South Dumdum Area 16,VILLAGE,Khora ,Punjab,16
17,Jodhpur Area 17,SLUM,Erode,Goa,17
18,Ramagundam Area 18,VILLAGE,Naihati,Odisha,18
19,Bhiwani Area 19,VILLAGE,Malegaon,Meghalaya,19
20,Mau Area 20,VILLAGE,Buxar,Tamil Nadu,20
21,Singrauli Area 21,WARD,Visakhapatnam,Mizoram,21
22,Narasaraopet Area 22,VILLAGE,Buxar,Madhya Pradesh,22
23,Machilipatnam Area 23,VILLAGE,Saharsa,Arunachal Pradesh,23
24,Malda Area 24,VILLAGE,Bulandshahr,Sikkim,24
25,Sagar Area 25,VILLAGE,Tenali,Meghalaya,25
26,Phagwara Area 26,WARD,Dewas,Odisha,26
27,Rourkela Area 27,VILLAGE,Dibrugarh,Nagaland,27
28,Bhiwandi Area 28,VILLAGE,Nandyal,Chhattisgarh,28
29,Bettiah Area 29,VILLAGE,Kozhikode,West Bengal,29
30,Navi Mumbai Area 30,WARD,Shimoga,Arunachal Pradesh,30
31,Ludhiana Area 31,WARD,Shahjahanpur,Maharashtra,31
32,Nagaon Area 32,WARD,Bhiwandi,Haryana,32
33,Tirupati Area 33,VILLAGE,Erode,Goa,33
34,Raiganj Area 34,VILLAGE,Dhanbad,Nagaland,34
35,Ballia Area 35,WARD,Kakinada,Arunachal Pradesh,35
36,Buxar Area 36,VILLAGE,Sikar,Uttarakhand,36
37,Amravati Area 37,COLONY,Darbhanga,Uttarakhand,37
38,Jorhat Area 38,VILLAGE,Ozhukarai,Manipur,38
39,Tadipatri Area 39,VILLAGE,Shivpuri,Nagaland,39
40,Karaikudi Area 40,VILLAGE,Nashik,Tamil Nadu,40
41,Kumbakonam Area 41,WARD,Kamarhati,Assam,41
42,Unnao Area 42,VILLAGE,Satara,Haryana,42
43,Bhubaneswar Area 43,VILLAGE,Srinagar,Kerala,43
44,Rourkela Area 44,COLONY,Amritsar,Odisha,44
45,Kharagpur Area 45,SLUM,Hosur,Uttar Pradesh,45
46,Kamarhati Area 46,VILLAGE,Tiruppur,Madhya Pradesh,46
47,Amaravati Area 47,VILLAGE,Dhanbad,Rajasthan,47
48,Ujjain Area 48,SLUM,Tumkur,Sikkim,48
49,Pallavaram Area 49,WARD,Navi Mumbai,Uttar Pradesh,49
50,Anand Area 50,COLONY,Nagpur,Himachal Pradesh,50
51,Jhansi Area 51,VILLAGE,Sagar,Rajasthan,51
52,Bettiah Area 52,VILLAGE,South Dumdum,Mizoram,52
53,Narasaraopet Area 53,VILLAGE,Darbhanga,Andhra Pradesh,53
54,South Dumdum Area 54,VILLAGE,Pallavaram,Kerala,54
