medicine_id,medicine_name,medicine_type
1,Paracetamol,TABLET
2,Iron Folic Acid,TABLET
3,ORS,POWDER
4,Vitamin A,SYRUP
5,Amoxicillin,CAPSULE
6,Azithromycin,TABLET
7,Metformin,TABLET
8,Amlodipine,TABLET
9,Insulin,INJECTION
10,Salbutamol,INHALER
11,Calcium Tablets,TABLET
12,Zinc Tablets,TABLET
13,Albendazole,TABLET
14,Doxycycline,TABLET
15,Cetirizine,TABLET
16,ORS Sachet,POWDER
17,Pantoprazole,TABLET
18,Omeprazole,TABLET
19,Vitamin D,CAPSULE
20,Multivitamin,TABLET
21,Cough Syrup,SYRUP
22,Ibuprofen,TABLET
23,Antacid,SYRUP
24,Hydrocortisone,CREAM
25,Chloroquine,TABLET
26,Artemisinin,TABLET
27,Folic Acid,TABLET
28,Pregnancy Supplement,TABLET
29,ORS Pediatric,POWDER
30,Antiseptic Lotion,LIQUID
31,Eye Drops,LIQUID
32,Nasal Spray,SPRAY
33,Pain Relief Gel,GEL
34,Antifungal Cream,CREAM
35,Antibiotic Ointment,CREAM
36,Protein Supplement,POWDER
37,Electrolyte Powder,POWDER
38,Vitamin B Complex,TABLET
39,Calamine Lotion,LIQUID
40,Hand Sanitizer,LIQUID
